"","Test_group","Date","Convert"
"1",0,2017-01-19,0
"2",0,2017-03-01,0
"3",0,2017-01-18,0
"4",0,2017-02-13,0
"5",0,2017-01-23,0
"6",0,2017-02-23,0
"7",0,2017-01-07,0
"8",0,2017-01-19,0
"9",0,2017-01-10,0
"10",0,2017-02-23,0
"11",0,2017-01-24,0
"12",0,2017-01-24,0
"13",0,2017-02-21,1
"14",0,2017-01-04,0
"15",0,2017-01-26,0
"16",0,2017-01-08,0
"17",0,2017-02-19,0
"18",0,2017-01-15,0
"19",0,2017-02-02,0
"20",0,2017-02-27,0
"21",0,2017-01-12,0
"22",0,2017-01-13,0
"23",0,2017-01-18,0
"24",0,2017-02-23,0
"25",0,2017-02-16,0
"26",0,2017-02-09,0
"27",0,2017-01-22,0
"28",0,2017-01-14,0
"29",0,2017-02-05,0
"30",0,2017-01-19,0
"31",0,2017-01-06,0
"32",0,2017-02-28,0
"33",0,2017-01-13,0
"34",0,2017-02-12,0
"35",0,2017-02-09,0
"36",0,2017-02-04,0
"37",0,2017-01-17,0
"38",0,2017-02-03,1
"39",0,2017-02-04,0
"40",0,2017-01-22,0
"41",0,2017-01-03,0
"42",0,2017-02-08,0
"43",0,2017-02-02,0
"44",0,2017-01-29,0
"45",0,2017-01-24,0
"46",0,2017-02-28,0
"47",0,2017-02-21,0
"48",0,2017-01-09,0
"49",0,2017-02-02,0
"50",0,2017-01-07,0
"51",0,2017-02-15,0
"52",0,2017-02-18,0
"53",0,2017-01-06,0
"54",0,2017-01-17,0
"55",0,2017-01-25,0
"56",0,2017-02-18,0
"57",0,2017-02-02,0
"58",0,2017-01-03,0
"59",0,2017-02-10,0
"60",0,2017-01-20,0
"61",0,2017-02-15,0
"62",0,2017-01-22,0
"63",0,2017-01-22,0
"64",0,2017-01-10,1
"65",0,2017-01-15,0
"66",0,2017-01-02,0
"67",0,2017-02-18,0
"68",0,2017-01-03,0
"69",0,2017-01-20,0
"70",0,2017-02-13,0
"71",0,2017-02-07,0
"72",0,2017-01-15,0
"73",0,2017-01-02,0
"74",0,2017-01-30,0
"75",0,2017-01-03,0
"76",0,2017-02-06,0
"77",0,2017-01-26,0
"78",0,2017-02-21,0
"79",0,2017-02-04,0
"80",0,2017-01-11,0
"81",0,2017-01-24,0
"82",0,2017-02-21,0
"83",0,2017-01-11,0
"84",0,2017-02-13,0
"85",0,2017-02-18,0
"86",0,2017-01-26,0
"87",0,2017-03-01,0
"88",0,2017-01-21,0
"89",0,2017-01-06,0
"90",0,2017-02-23,1
"91",0,2017-01-27,0
"92",0,2017-02-20,0
"93",0,2017-01-17,0
"94",0,2017-02-17,0
"95",0,2017-01-02,0
"96",0,2017-02-27,0
"97",0,2017-01-25,0
"98",0,2017-02-03,0
"99",0,2017-01-18,0
"100",0,2017-01-24,0
"101",0,2017-01-03,0
"102",0,2017-02-16,0
"103",0,2017-02-02,0
"104",0,2017-02-17,0
"105",0,2017-01-08,0
"106",0,2017-02-22,0
"107",0,2017-01-31,0
"108",0,2017-02-27,0
"109",0,2017-01-09,0
"110",0,2017-02-16,0
"111",0,2017-01-24,0
"112",0,2017-01-13,0
"113",0,2017-01-29,0
"114",0,2017-01-22,0
"115",0,2017-01-27,0
"116",0,2017-02-05,0
"117",0,2017-01-27,0
"118",0,2017-01-23,0
"119",0,2017-02-26,0
"120",0,2017-01-29,0
"121",0,2017-01-13,1
"122",0,2017-01-04,0
"123",0,2017-01-25,0
"124",0,2017-01-07,0
"125",0,2017-02-11,0
"126",0,2017-02-14,0
"127",0,2017-01-01,0
"128",0,2017-02-10,0
"129",0,2017-01-12,0
"130",0,2017-01-06,0
"131",0,2017-01-18,0
"132",0,2017-02-25,0
"133",0,2017-01-04,0
"134",0,2017-02-05,0
"135",0,2017-02-24,0
"136",0,2017-01-16,0
"137",0,2017-02-24,0
"138",0,2017-02-03,0
"139",0,2017-02-21,0
"140",0,2017-02-17,0
"141",0,2017-01-16,0
"142",0,2017-02-01,0
"143",0,2017-01-10,0
